#	delta x [m]	delta y [m]	delta orientation [rad]

0.00072035	0.00037495	0.0034
0.00072035	0.00037495	0.0034
0.0014716	0.0007529	0.0067
0.0015015	0.0007116	0.0065
0.0014958	0.0005981	0.0063
0.0013693	0.0004634	0.0062
0.0012562	0.0002948	0.006
0.0011955	0.0001679	0.0057
0.0011822	0.0000452	0.0055
0.0011531	-0.0000058	0.0054
0.0011103	0.0000248	0.0054
0.0010809	0.0001256	0.0055
0.0010493	0.0002415	0.0057
0.0010194	0.0003429	0.0061
0.0005233	0.00023255	0.00315
0.0005233	0.00023255	0.00315
0.0010749	0.0005312	0.0064
0.0011277	0.000565	0.0064
0.0011448	0.0005704	0.0063
0.0011936	0.0005522	0.0062
0.0012642	0.0005133	0.0058
0.0013079	0.0005131	0.0057
0.0013407	0.0005272	0.0055
0.0013766	0.0005704	0.0055
0.0014055	0.0005929	0.0051
0.0014356	0.0006027	0.0049
0.0014549	0.0006093	0.0049
0.0007196	0.00029425	0.00245
0.0007196	0.00029425	0.00245
0.0013754	0.000564	0.0052
0.0012805	0.0005389	0.0057
0.0012115	0.0005325	0.0061
0.0011452	0.0005411	0.0069
0.0010973	0.0005896	0.0075
0.0010234	0.0006946	0.0081
0.0010071	0.0008174	0.0084
0.0010152	0.00085	0.0084
0.0010431	0.0008387	0.0079
0.0010875	0.0008085	0.0072
0.0011578	0.0007798	0.0063
0.0005978	0.00035915	0.0027
0.0005978	0.00035915	0.0027
0.0012153	0.0006485	0.0046
0.0012608	0.0005649	0.0038
0.0013106	0.0004765	0.003
0.0013295	0.0003807	0.0026
0.0012985	0.0003593	0.0025
0.0012882	0.0004196	0.003
0.0012686	0.0005091	0.0037
0.0012405	0.0005711	0.0043
0.0012184	0.0005874	0.0045
0.0011838	0.0005578	0.0046
0.0011463	0.000571	0.0047
0.0005616	0.000299	0.00245
0.0005616	0.000299	0.00245
0.0011119	0.0006237	0.005
0.0011299	0.0006476	0.0051
0.0011129	0.0006668	0.0051
0.001115	0.0006808	0.0051
0.0011461	0.0006936	0.0052
0.0011777	0.0006844	0.0052
0.0011556	0.0007033	0.0055
0.0011283	0.0007184	0.0057
0.0010869	0.0007319	0.006
0.0010722	0.0007434	0.0061
0.0010928	0.0007728	0.0061
0.0011053	0.0008198	0.0064
0.00055995	0.0004331	0.0031
0.00055995	0.0004331	0.0031
0.0010788	0.000867	0.0061
0.0010279	0.0008692	0.0059
0.0010166	0.0008437	0.0058
0.0010205	0.000828	0.0059
0.0010226	0.000812	0.0059
0.0010139	0.0007865	0.0055
0.0010336	0.0007919	0.0055
0.0010406	0.0007876	0.0052
0.0010696	0.0007997	0.0052
0.0010736	0.0008171	0.0051
0.0010746	0.0008364	0.0051
0.000519	0.00041905	0.0026
0.000519	0.00041905	0.0026
0.0009576	0.0008265	0.0053
0.0009373	0.0008484	0.0054
0.0009486	0.0008887	0.0056
0.0009751	0.0009223	0.0059
0.0009851	0.000956	0.0061
0.0009951	0.0009896	0.0061
0.0010355	0.0010232	0.006
0.0010668	0.0010205	0.0057
0.0011104	0.0010081	0.0052
0.0011286	0.0009919	0.0047
0.0005661	0.00048525	0.00215
0.0005661	0.00048525	0.00215
0.0011473	0.0009563	0.0039
0.001177	0.0009719	0.0037
0.0011681	0.0009877	0.0037
0.0010925	0.0009801	0.0042
0.0009668	0.0009406	0.0047
0.0008527	0.0009347	0.0055
0.0007591	0.0009471	0.0062
0.0007179	0.000969	0.0068
0.0007257	0.0009838	0.0073
0.0007681	0.0009747	0.0074
0.0008314	0.0009661	0.0069
0.0004542	0.0004773	0.003
0.0004542	0.0004773	0.003
0.0010122	0.0009622	0.0054
0.0010767	0.0009587	0.0049
0.0010621	0.0009809	0.0049
0.0009998	0.0009968	0.005
0.0009538	0.0010317	0.0051
0.0009004	0.0010814	0.0054
0.0008194	0.0011213	0.0056
0.0007841	0.0011835	0.006
0.0007623	0.0012116	0.0064
0.0007166	0.0012142	0.0067
0.0007018	0.0012293	0.0068
0.00034495	0.0006076	0.0034
0.00034495	0.0006076	0.0034
0.0006981	0.0011891	0.0068
0.0006869	0.0011524	0.0066
0.0006747	0.001105	0.0064
0.0006882	0.0010539	0.006
0.0007175	0.0010101	0.0054
0.0007448	0.0010114	0.0054
0.0007839	0.001034	0.0053
0.0008265	0.0010717	0.0054
0.0008546	0.0011217	0.0054
0.0008823	0.0011655	0.0053
0.0008945	0.0011995	0.0051
0.0004461	0.00060915	0.0026
0.0004461	0.00060915	0.0026
0.0008432	0.0011956	0.0054
0.0007689	0.0011401	0.0055
0.0007138	0.0011131	0.0056
0.0006769	0.0011275	0.0056
0.0006534	0.0011397	0.0057
0.0006355	0.0011374	0.006
0.0006293	0.0011257	0.006
0.0006425	0.0011285	0.0061
0.0006502	0.0011232	0.0059
0.0006663	0.0011204	0.006
0.0006933	0.0011222	0.0061
0.0006955	0.0011176	0.0063
0.0003365	0.00055145	0.0031
0.0003365	0.00055145	0.0031
0.0006729	0.0011012	0.006
0.000675	0.0011183	0.0058
0.000658	0.001132	0.0057
0.0006582	0.0011584	0.0056
0.0006636	0.0011845	0.0057
0.0006593	0.0012258	0.0056
0.000649	0.0012301	0.0053
0.0006583	0.0012451	0.0052
0.0006769	0.0012245	0.0051
0.0006715	0.0012225	0.0053
0.0003148	0.0006162	0.00265
0.0003148	0.0006162	0.00265
0.0006129	0.0012329	0.0052
0.0005919	0.001199	0.0052
-0.003886	0.0058257	0.0353
0.0004753	0.0011898	0.0057
0.0004774	0.0012345	0.0059
0.0004558	0.001256	0.006
0.0004179	0.0012609	0.0064
0.0003702	0.0012804	0.0067
0.0002993	0.0013057	0.0074
0.0002694	0.0012673	0.0077
-0.0003602	0.0015993	0.0126
0.00014345	0.00062915	0.00355
0.00014345	0.00062915	0.00355
0.0002796	0.0012532	0.0069
0.0002762	0.0012327	0.0067
0.0002664	0.0012059	0.0065
0.0002925	0.001173	0.0062
0.0003575	0.0011847	0.006
0.000428	0.0012205	0.0053
0.0005038	0.0012801	0.0048
0.0005772	0.0013354	0.0044
0.0006398	0.0013583	0.0042
0.0006572	0.0013357	0.004
0.0006291	0.00129	0.004
0.00026785	0.00061285	0.00225
0.00026785	0.00061285	0.00225
0.0003996	0.001155	0.0052
0.0002511	0.0011026	0.0061
0.0001335	0.0011323	0.007
0.0000696	0.0012502	0.0076
0.0000342	0.001363	0.0079
0.0000625	0.0013969	0.0076
0.0001363	0.0014013	0.0071
0.0002549	0.0014208	0.0062
0.0003192	0.001473	0.0056
0.0003586	0.0014772	0.0052
0.000402	0.0014397	0.0048
0.0002199	0.0006765	0.00225
0.0002199	0.0006765	0.00225
0.0004423	0.0012799	0.0043
0.0004327	0.0012721	0.0044
0.0003719	0.0012985	0.0046
0.0002709	0.001285	0.0052
0.0002017	0.0012138	0.0056
0.0001445	0.0011498	0.0055
0.0001039	0.001124	0.0055
0.0000523	0.0011579	0.0058
0.0000063	0.0012113	0.0065
-0.0000096	0.0012712	0.0073
0.0000281	0.0012694	0.0075
0.0000811	0.0013096	0.007
0.00005835	0.0007309	0.00345
0.00005835	0.0007309	0.00345
0.00016	0.0015431	0.0063
0.0001717	0.0015265	0.0061
0.0001716	0.0014711	0.0058
0.0001847	0.001426	0.0053
0.0001873	0.0013677	0.0051
0.000159	0.0013163	0.0051
0.0001371	0.0012815	0.0053
0.0001251	0.0012463	0.0055
0.0001317	0.0011998	0.0054
0.0001442	0.00124	0.0051
0.00007525	0.000644	0.0026
0.00007525	0.000644	0.0026
0.0001305	0.0013337	0.0051
0.0000897	0.0013609	0.0055
0.0000252	0.0013577	0.0059
-0.0000048	0.0013562	0.006
-0.0000151	0.0013749	0.0062
-0.0000316	0.0013861	0.0064
-0.0000618	0.001387	0.0065
-0.0000756	0.001381	0.0066
-0.0000486	0.001382	0.0063
-0.0000293	0.0013878	0.0062
-0.0000387	0.0014093	0.0061
-0.00003665	0.0006971	0.0031
-0.00003665	0.0006971	0.0031
-0.0001009	0.0013382	0.00608531
-0.0001045	0.0012542	0.006
-0.0000703	0.001231	0.0059
-0.0000307	0.0012662	0.0057
-0.0000055	0.001336	0.0056
0	0.0013652	0.0055
0.0000195	0.0013786	0.0051
0.0000282	0.0014041	0.0049
-0.0000068	0.0014045	0.0047
-0.0000479	0.0013884	0.0051
-0.0000723	0.001349	0.0053
-0.00004155	0.0006425	0.00285
-0.00004155	0.0006425	0.00285
-0.000117	0.0012349	0.0059
-0.0001488	0.0012273	0.0061
-0.0001532	0.001261	0.006
-0.0001484	0.0027969	0.0111
-0.0003001	0.0027615	0.0108
-0.0003009	0.0029555	0.0105
-0.00015485	0.0014338	0.00565
-0.00015485	0.0014338	0.00565
-0.0003583	0.0028273	0.0115
-0.0004742	0.0027586	0.012
-0.0006664	0.0026488	0.0125
-0.000772	0.0025812	0.0125
-0.0007432	0.0023978	0.0134
-0.0004902	0.0023424	0.0129
-0.00019435	0.001284	0.00545
-0.00019435	0.001284	0.00545
-0.0004577	0.0026095	0.0096
-0.0005854	0.002506	0.0096
-0.0006725	0.0024421	0.0104
-0.0007038	0.0024827	0.0115
-0.0008222	0.0025721	0.0121
-0.00048315	0.0013123	0.00655
-0.00048315	0.0013123	0.00655
-0.0010262	0.0025542	0.0136
-0.0011436	0.0026293	0.0129
-0.0010758	0.0026697	0.0129
-0.0008942	0.0026363	0.0118
-0.0008675	0.0026107	0.0113
-0.0004197	0.00123	0.0057
-0.0004197	0.00123	0.0057
-0.0009159	0.0024166	0.0109
-0.0009529	0.0024463	0.0108
-0.0008174	0.0024252	0.0103
-0.0010356	0.0023664	0.0113
-0.0012566	0.0021811	0.0134
-0.0006908	0.00104705	0.00755
-0.0006908	0.00104705	0.00755
-0.0014787	0.0022392	0.015
-0.0014697	0.0023417	0.0143
-0.0014089	0.0024429	0.0128
-0.001359	0.0024841	0.0118
-0.0010784	0.0025318	0.0104
-0.0005479	0.00125375	0.0049
-0.0005479	0.00125375	0.0049
-0.0014087	0.0023424	0.0103
-0.0014558	0.002125	0.011
-0.0014499	0.0019907	0.0121
-0.0013865	0.0020119	0.0127
-0.0013143	0.0021991	0.0118
-0.00078935	0.0011926	0.00585
-0.00078935	0.0011926	0.00585
-0.001731	0.0025561	0.0112
-0.0018857	0.0025824	0.0118
-0.0019014	0.0022925	0.0134
-0.0016887	0.0022332	0.0129
-0.001679	0.0022358	0.0123
-0.00084665	0.001008	0.0063
-0.00084665	0.001008	0.0063
-0.0018024	0.0019832	0.0126
-0.0017621	0.001984	0.0121
-0.0017419	0.0020347	0.012
-0.0019119	0.0021001	0.013
-0.0020296	0.0020992	0.014
-0.0010516	0.00101425	0.00705
-0.0010516	0.00101425	0.00705
-0.0022448	0.0019622	0.0143
-0.0022691	0.0018122	0.0145
-0.0020708	0.0017935	0.0137
-0.0019453	0.0018176	0.0128
-0.0019236	0.0019266	0.0112
-0.0009583	0.00102105	0.0054
-0.0009583	0.00102105	0.0054
-0.0019529	0.0020045	0.0116
-0.0019343	0.0018479	0.012
-0.0018458	0.0016566	0.0119
-0.0017951	0.0014848	0.0118
-0.0018759	0.0014368	0.0112
-0.00100085	0.00072655	0.0056
-0.00100085	0.00072655	0.0056
-0.0021095	0.0015327	0.0122
-0.0021566	0.0016637	0.0131
-0.0021365	0.0017189	0.0141
-0.0020352	0.0017196	0.014
-0.0021238	0.001815	0.0125
-0.0011207	0.00095045	0.00525
-0.0011207	0.00095045	0.00525
-0.002383	0.0019485	0.0087
-0.0024478	0.0018801	0.0089
-0.002432	0.0015795	0.0119
-0.0024308	0.0013735	0.0143
-0.0022507	0.001057	0.0166
-0.00106985	0.00040945	0.00845
-0.00106985	0.00040945	0.00845
-0.0019432	0.001499	0.0155
-0.0019739	0.0008036	0.0121
-0.0019698	0.0009488	0.0093
-0.0019362	0.0010875	0.0083
-0.0020078	0.0013281	0.0092
-0.0011543	0.0008294	0.0052
-0.0011543	0.0008294	0.0052
-0.0025595	0.0017453	0.0124
-0.0027648	0.0015561	0.0135
-0.0029879	0.0012141	0.014
-0.002975	0.0008231	0.0148
-0.0028936	0.0005882	0.0141
-0.0014022	0.000265	0.0066
-0.0014022	0.000265	0.0066
-0.0025424	0.0007033	0.0124
-0.0023161	0.0009638	0.0114
-0.0022312	0.0011455	0.0116
-0.0021805	0.0013054	0.0111
-0.0023057	0.0012419	0.0108
-0.00124475	0.0005072	0.0052
-0.00124475	0.0005072	0.0052
-0.0025715	0.0006804	0.0098
-0.002534	0.0005257	0.0113
-0.0023839	0.0006078	0.0131
-0.0024298	0.0009525	0.0137
-0.002435	0.0012401	0.0143
-0.00193605	0.0006469	0.0106
-0.00193605	0.0006469	0.0106
-0.0025407	0.0008249	0.0084
-0.0037177	0.0015087	0.0005
-0.0030332	0.0005086	0.0002
-0.0031707	0.0003828	0.0014
-0.00157955	0.0002613	0.00075
-0.00157955	0.0002613	0.00075
-0.0030582	0.000955	-0.0011
-0.0028367	0.001312	-0.0039
-0.0029424	0.0008973	-0.0008
-0.0028012	0.0006052	0.0006
-0.0029399	0.000435	0.0012
-0.0015027	0.00023835	0.0005
-0.0015027	0.00023835	0.0005
-0.0027373	0.0008185	-0.0005
-0.0025769	0.0010183	-0.0016
-0.0028501	0.0006537	0.0013
-0.0029836	0.0005203	0.0024
-0.0029891	0.0006441	0.0018
-0.0014551	0.0004449	0.0001
-0.0014551	0.0004449	0.0001
-0.0028656	0.0011381	-0.0018
-0.0030338	0.0007675	0.0006
-0.0031222	0.0006335	0.0015
-0.003201	0.0006343	0.0012
-0.0032088	0.0007873	0.0003
-0.0014417	0.00051965	-0.00075
-0.0014417	0.00051965	-0.00075
-0.0024884	0.0013283	-0.0035
-0.0026751	0.0009532	-0.0018
-0.002754	0.0006303	-0.0001
-0.0028198	0.0004645	0.0008
-0.0029302	0.0004586	0.0013
-0.0015297	0.00028165	0.00025
-0.0015297	0.00028165	0.00025
-0.0030635	0.0006961	0.0005
-0.0032908	0.0005447	0.0031
-0.0033389	0.0006694	0.0029
-0.0030467	0.0008906	0.0003
-0.0024938	0.0012256	-0.0027
-0.00113195	0.000735	-0.00255
-0.00113195	0.000735	-0.00255
-0.0026899	0.0010022	-0.0026
-0.0031072	0.0005164	0.0006
-0.0031608	0.0005015	0.0014
-0.0030761	0.0006624	0.0015
-0.0028149	0.0009472	-0.0009
-0.0012913	0.00060445	-0.0015
-0.0012913	0.00060445	-0.0015
-0.0028555	0.0008132	0.0002
-0.0031124	0.0005465	0.0017
-0.0031827	0.0003778	0.0022
-0.0029194	0.0003841	0.0021
-0.0026289	0.0006569	-0.0002
-0.0013557	0.00047285	-0.0008
-0.0013557	0.00047285	-0.0008
-0.0030838	0.0007106	0.0009
-0.0030838	0.000718	0.0013
-0.0030194	0.0007685	0.0011
-0.0028827	0.0008642	0.0002
-0.0027483	0.0009191	-0.0017
-0.0013657	0.0004414	-0.00095
-0.0013657	0.0004414	-0.00095
-0.003034	0.0005627	0.0005
-0.0031821	0.0006945	0
-0.0032386	0.0009071	0
-0.0029693	0.0011877	-0.0012
-0.0026597	0.0014245	-0.0037
-0.00138025	0.00046675	-0.0004
-0.00138025	0.00046675	-0.0004
-0.0029159	0.000542	0.0014
-0.003061	0.000376	0.0018
-0.0031419	0.0003863	0.0016
-0.0029539	0.0005194	-0.0001
-0.0026403	0.0008272	-0.0016
-0.00132075	0.00041775	0.0001
-0.00132075	0.00041775	0.0001
-0.0029736	0.0007743	0.0019
-0.0030348	0.0007969	0.0015
-0.0030477	0.0007562	0.0003
-0.0029534	0.0008322	-0.0018
-0.0028962	0.0010532	-0.0033
-0.0013982	0.0005441	-0.001
-0.0013982	0.0005441	-0.001
-0.0031048	0.0006345	0.002
-0.0032428	0.0004011	0.0039
-0.0030164	0.0004126	0.0036
-0.0027299	0.00059	0.0007
-0.0025158	0.0009331	-0.0031
-0.00140885	0.0004168	-0.00135
-0.00140885	0.0004168	-0.00135
-0.0030395	0.0005853	-0.0004
-0.0028839	0.000648	0.0006
-0.0028338	0.0008095	-0.0001
-0.0027672	0.0009659	-0.0013
-0.002793	0.0008822	-0.0002
-0.00143875	0.00033225	0.00085
-0.00143875	0.00033225	0.00085
-0.0028415	0.0005305	0.0017
-0.0028845	0.0005038	0.0006
-0.0028542	0.0006723	-0.0011
-0.002676	0.0009271	-0.0022
-0.0028775	0.000792	0.0001
-0.0015499	0.00038955	0.0008
-0.0015499	0.00038955	0.0008
-0.0030329	0.0007957	0.0015
-0.002956	0.0009831	-0.0003
-0.0029809	0.0011181	-0.0028
-0.0031947	0.0007374	-0.0007
-0.00307	0.0006824	0.0003
-0.001554	0.0003502	0.0005
-0.001554	0.0003502	0.0005
-0.0030692	0.0007195	0.001
-0.0029533	0.0008499	0
-0.0027141	0.0011625	-0.0018
-0.0029602	0.0009721	-0.0001
-0.0030478	0.000785	-0.0001
-0.00144045	0.0003426	-0.00035
-0.00144045	0.0003426	-0.00035
-0.002644	0.0006228	-0.0009
-0.0026803	0.0007033	-0.0006
-0.0028475	0.0008065	0.0005
-0.0031386	0.0005343	0.0033
-0.0033444	0.0005731	0.0039
-0.0015628	0.00042375	0.00055
-0.0015628	0.00042375	0.00055
-0.002621	0.0010587	-0.0017
-0.0025094	0.0009057	-0.0017
-0.0026873	0.0007693	-0.0019
-0.0032127	0.0003765	0.0005
-0.0031909	0.0005445	0.0006
-0.0014822	0.0004148	0.00005
-0.0014822	0.0004148	0.00005
-0.0027719	0.0011646	-0.0016
-0.0029825	0.0009448	0
-0.0030409	0.0007534	0.0012
-0.0030656	0.0007117	0.0005
-0.0030402	0.0007216	-0.0012
-0.00142305	0.00034195	-0.0005
-0.00142305	0.00034195	-0.0005
-0.0027195	0.000809	-0.0005
-0.0030253	0.000529	0.0018
-0.0033004	0.0005238	0.0027
-0.0030436	0.0007263	0.0012
-0.0025344	0.0010985	-0.0018
-0.00120955	0.0006132	-0.0015
-0.00120955	0.0006132	-0.0015
-0.0028379	0.0007687	0.0002
-0.0030457	0.000491	0.001
-0.0031571	0.0004124	0.0017
-0.0031467	0.0005808	0.0007
-0.002844	0.0009263	-0.0014
-0.00135255	0.00056255	-0.0011
-0.00135255	0.00056255	-0.0011
-0.0029204	0.000765	0.0003
-0.003221	0.0004179	0.0026
-0.003102	0.0004515	0.0018
-0.0027725	0.0007279	-0.0007
-0.0025967	0.0011603	-0.0035
-0.0014198	0.0005328	-0.00115
-0.0014198	0.0005328	-0.00115
-0.0031805	0.0005948	0.0011
-0.0031947	0.0004688	0.0027
-0.0031532	0.0005452	0.0021
-0.0029033	0.000798	-0.0002
-0.0024691	0.0010892	-0.0024
-0.0014104	0.0004376	-0.0006
-0.0014104	0.0004376	-0.0006
-0.0030626	0.0006975	0.0003
-0.0030665	0.000513	0.0015
-0.0031172	0.0005052	0.0018
-0.0030867	0.0007259	0.0004
-0.0027238	0.0011083	-0.0016
-0.0027853	0.0008661	0.0001
-0.0014123	0.00034465	0.0003
-0.0014123	0.00034465	0.0003
-0.0028818	0.0006515	0.0004
-0.0031013	0.0007534	-0.0004
-0.0030899	0.0009039	-0.0012
-0.0030251	0.0009777	-0.0011
-0.0016406	0.0003211	0.00055
-0.0016406	0.0003211	0.00055
-0.0031523	0.0006894	0.0015
-0.0029401	0.0008637	0.0006
-0.0026309	0.0010797	-0.0018
-0.0027334	0.0008378	-0.0009
-0.0028348	0.000717	-0.0006
-0.00148395	0.00029455	0.00035
-0.00148395	0.00029455	0.00035
-0.0031539	0.0006581	0.0013
-0.0031076	0.0008309	0.0002
-0.0029485	0.0010254	-0.0015
-0.0029825	0.0007989	-0.0003
-0.0030092	0.0007742	0.0003
-0.0015739	0.0003642	0.0005
-0.0015739	0.0003642	0.0005
-0.003026	0.0007544	0.0011
-0.0028242	0.0008616	-0.0008
-0.0029587	0.000846	-0.0015
-0.0032014	0.0003342	0.0018
-0.0030756	0.000466	0.0018
-0.0014202	0.00042865	-0.0001
-0.0014202	0.00042865	-0.0001
-0.0025202	0.0012767	-0.0023
-0.002715	0.0009612	-0.0005
-0.0029502	0.0005642	0.0012
-0.0032642	0.0003492	0.0017
-0.0031425	0.0005404	0.0006
-0.00448625	0.0014496	-0.0014
-0.00448625	0.0014496	-0.0014
-0.0030706	0.0007537	0.0007
-0.0027461	0.0007166	0.0007
-0.0026962	0.0008115	-0.0005
-0.00139865	0.0004643	-0.0007
-0.00139865	0.0004643	-0.0007
-0.003054	0.0007822	0.0001
-0.0034101	0.0003006	0.0027
-0.0032259	0.0003843	0.0014
-0.0028322	0.0007665	-0.0015
-0.0024391	0.0011787	-0.0038
-0.0012895	0.000591	-0.00095
-0.0012895	0.000591	-0.00095
-0.0028806	0.00094	0
-0.0030467	0.0006041	0.0005
-0.0029306	0.0003939	0.0003
-0.0027119	0.0004597	-0.0005
-0.0026722	0.0008509	-0.0014
-0.0014997	0.00045965	-0.0002
-0.0014997	0.00045965	-0.0002
-0.003127	0.0005198	0.0018
-0.0032337	0.0003131	0.0029
-0.0031182	0.0005066	0.0021
-0.0027188	0.0006022	0.0008
-0.0027585	0.0007238	0.0002
-0.00158105	0.0003661	-0.0001
-0.00158105	0.0003661	-0.0001
-0.0031714	0.0010947	-0.0025
-0.0030045	0.0012857	-0.0029
-0.0027841	0.0014446	-0.0036
-0.0026903	0.0014018	-0.0037
-0.0027836	0.00104	-0.0012
-0.0028835	0.0006022	0.0005
-0.00152835	0.00015735	0.0008
-0.00152835	0.00015735	0.0008
-0.0031324	0.0004853	0.0009
-0.0029614	0.0008918	-0.0007
-0.0029143	0.0007252	0.0008
-0.0028924	0.0006364	0.0021
-0.00149675	0.00027095	0.0013
-0.00149675	0.00027095	0.0013
-0.0029411	0.0006925	0.0018
-0.0026979	0.0007149	0.0004
-0.0025774	0.0011435	-0.0034
-0.0026299	0.0012121	-0.004
-0.0026666	0.001284	-0.0037
-0.00235285	0.0005394	0
-0.00235285	0.0005394	0
-0.0033403	0.0004523	0.0035
-0.0032115	0.0005643	0.0041
-0.0030246	0.0005005	0.004
-0.0029602	0.000548	0.0013
-0.0031412	0.0008996	-0.001
-0.00149155	0.00053655	-0.0008
-0.00149155	0.00053655	-0.0008
-0.0027177	0.0010734	-0.0026
-0.0026347	0.0011111	-0.0034
-0.0026823	0.0011034	-0.0025
-0.0030386	0.0005203	0.0021
-0.00165535	0.00018465	0.0014
-0.00165535	0.00018465	0.0014
-0.0030271	0.000759	-0.0007
-0.0026671	0.0009301	-0.0017
-0.0025263	0.0011619	-0.0024
-0.0027757	0.0010033	-0.0011
-0.0030909	0.0008817	-0.0008
-0.0031166	0.0007133	-0.0004
-0.00148535	0.00032175	0.00005
-0.00148535	0.00032175	0.00005
-0.0028635	0.0007287	-0.0002
-0.0028174	0.0006313	0.0009
-0.0028903	0.0006955	0.0014
-0.0030519	0.0006188	0.0015
-0.0030901	0.000717	0.0001
-0.00142145	0.0004232	-0.0007
-0.00142145	0.0004232	-0.0007
-0.0027072	0.001132	-0.0029
-0.0028267	0.0009811	-0.001
-0.003048	0.0005393	0.0025
-0.0028852	0.0006128	0.0014
-0.0028303	0.0008482	-0.0009
-0.00143105	0.0004988	-0.0009
-0.00143105	0.0004988	-0.0009
-0.0031005	0.0007478	-0.0001
-0.0030346	0.0007497	0.0009
-0.0029616	0.0005839	0.0016
-0.0029596	0.0006465	-0.0002
-0.0027482	0.0007916	-0.0008
-0.00123935	0.00049865	-0.00015
-0.00123935	0.00049865	-0.00015
-0.0027882	0.00079	0.0007
-0.0029419	0.0006054	0.0003
-0.0029463	0.000603	-0.0002
-0.0027996	0.00071	-0.0012
-0.0028196	0.0009229	-0.0012
-0.0016008	0.00045455	-0.00005
-0.0016008	0.00045455	-0.00005
-0.0032364	0.0007067	0.0014
-0.0030367	0.000583	0.0011
-0.0031187	0.0006076	0.0001
-0.0029913	0.0006538	-0.0002
-0.0026227	0.0008855	-0.0005
-0.0013839	0.000532	-0.00055
-0.0013839	0.000532	-0.00055
-0.0030226	0.0007752	-0.0001
-0.0031606	0.0005646	0.0008
-0.0030174	0.0004468	0.0014
-0.0028592	0.0006655	0.0007
-0.0027425	0.0009714	-0.0009
-0.0013543	0.0004648	-0.00045
-0.0013543	0.0004648	-0.00045
-0.0028417	0.0008935	-0.001
-0.003164	0.0007196	-0.0007
-0.0032459	0.0006229	0.0004
-0.0030322	0.0006535	0.0011
-0.0028876	0.0006973	0.0004
-0.0014258	0.0004301	0.0001
-0.0014258	0.0004301	0.0001
-0.0014241	0.0004844	0.0001
-0.0027836	0.0007431	0.0006
-0.0025458	0.0007203	-0.0011
-0.0026953	0.0007211	-0.0011
-0.0028749	0.000794	-0.0007
-0.0015262	0.00039915	0.0003
-0.0015262	0.00039915	0.0003
-0.0032139	0.0007701	0.0015
-0.0033184	0.0006214	0.0019
-0.0031646	0.0005463	0.0017
-0.0027701	0.0007245	-0.0001
-0.0026752	0.0010119	-0.0025
-0.00146875	0.0004569	-0.0006
-0.00146875	0.0004569	-0.0006
-0.0029052	0.0008096	0.0003
-0.0028081	0.0007197	0.0004
-0.002908	0.0007125	-0.0001
-0.0030703	0.0007937	-0.0003
-0.0030585	0.0008793	0
